period,papers,samples,curves,papers_cum,samples_cum,curves_cum
2017,0,1010,2859,0,1010,2859
2018,17460,9125,32447,17460,10135,35306
2019,2030,13797,39622,19490,23932,74928
2020,9525,12932,35201,29015,36864,110129
2021,7566,8518,25858,36581,45382,135987
2022,5972,11105,19340,42553,56487,155327
2023,6525,26259,37923,49078,82746,193250
2024,3311,12267,19502,52389,95013,212752
2025,1885,7599,15142,54274,102612,227894
2026,2220,3342,8316,56494,105954,236210
