period,papers,samples,curves,papers_cum,samples_cum,curves_cum
2017,0,1010,2859,0,1010,2859
2018,17460,9125,32447,17460,10135,35306
2019,2025,13797,39622,19485,23932,74928
2020,9530,12932,35201,29015,36864,110129
2021,7558,8518,25858,36573,45382,135987
2022,5973,11105,19340,42546,56487,155327
2023,6525,26259,37923,49071,82746,193250
2024,3311,12267,19502,52382,95013,212752
2025,1885,7599,15142,54267,102612,227894
2026,2222,3397,8483,56489,106009,236377
