period,papers,samples,curves,papers_cum,samples_cum,curves_cum
2017-09,0,461,1251,0,461,1251
2017-10,0,57,148,0,518,1399
2017-11,0,5,9,0,523,1408
2017-12,0,487,1451,0,1010,2859
2018-01,17285,1203,3270,17285,2213,6129
2018-02,69,437,1685,17354,2650,7814
2018-03,0,666,2602,17354,3316,10416
2018-04,0,545,1958,17354,3861,12374
2018-05,0,381,2036,17354,4242,14410
2018-06,0,621,2649,17354,4863,17059
2018-07,0,736,2892,17354,5599,19951
2018-08,4,640,2529,17358,6239,22480
2018-09,28,891,2926,17386,7130,25406
2018-10,2,1184,4111,17388,8314,29517
2018-11,26,803,2676,17414,9117,32193
2018-12,46,1018,3113,17460,10135,35306
2019-01,157,1716,5864,17617,11851,41170
2019-02,4,1049,3745,17621,12900,44915
2019-03,1299,986,3387,18920,13886,48302
2019-04,561,1281,3972,19481,15167,52274
2019-05,6,1379,4072,19487,16546,56346
2019-06,0,1066,2852,19487,17612,59198
2019-07,0,967,1835,19487,18579,61033
2019-08,0,765,2203,19487,19344,63236
2019-09,2,932,2460,19489,20276,65696
2019-10,1,1119,3343,19490,21395,69039
2019-11,6,1486,3467,19496,22881,72506
2019-12,40,1051,2422,19536,23932,74928
2020-01,1538,1012,2614,21074,24944,77542
2020-02,2095,1670,3961,23169,26614,81503
2020-03,1342,1305,4067,24511,27919,85570
2020-04,2379,1257,3679,26890,29176,89249
2020-05,22,1341,3742,26912,30517,92991
2020-06,214,1230,3982,27126,31747,96973
2020-07,119,1367,3500,27245,33114,100473
2020-08,29,816,1949,27274,33930,102422
2020-09,43,601,1763,27317,34531,104185
2020-10,31,633,1549,27348,35164,105734
2020-11,353,1034,2663,27701,36198,108397
2020-12,1440,666,1732,29141,36864,110129
2021-01,20,1396,2874,29161,38260,113003
2021-02,1554,542,2102,30715,38802,115105
2021-03,58,572,1864,30773,39374,116969
2021-04,382,468,1642,31155,39842,118611
2021-05,988,698,2416,32143,40540,121027
2021-06,190,573,1995,32333,41113,123022
2021-07,280,523,1703,32613,41636,124725
2021-08,71,479,1875,32684,42115,126600
2021-09,311,791,2098,32995,42906,128698
2021-10,1427,959,2378,34422,43865,131076
2021-11,2315,781,2284,36737,44646,133360
2021-12,26,736,2627,36763,45382,135987
2022-01,124,450,2226,36887,45832,138213
2022-02,4213,594,2022,41100,46426,140235
2022-03,60,553,1161,41160,46979,141396
2022-04,463,411,565,41623,47390,141961
2022-05,49,421,540,41672,47811,142501
2022-06,315,869,1289,41987,48680,143790
2022-07,46,961,1482,42033,49641,145272
2022-08,52,1097,1669,42085,50738,146941
2022-09,148,1152,1868,42233,51890,148809
2022-10,123,1309,1852,42356,53199,150661
2022-11,186,1741,2385,42542,54940,153046
2022-12,229,1547,2281,42771,56487,155327
2023-01,386,1993,3055,43157,58480,158382
2023-02,483,2449,3488,43640,60929,161870
2023-03,399,2655,3502,44039,63584,165372
2023-04,501,1829,2688,44540,65413,168060
2023-05,670,2352,3609,45210,67765,171669
2023-06,1174,2431,3758,46384,70196,175427
2023-07,572,2437,3507,46956,72633,178934
2023-08,501,1844,2593,47457,74477,181527
2023-09,407,2425,3263,47864,76902,184790
2023-10,402,2040,2784,48266,78942,187574
2023-11,500,2156,3151,48766,81098,190725
2023-12,531,1654,2531,49297,82752,193256
2024-01,409,1628,2244,49706,84380,195500
2024-02,275,1870,2496,49981,86250,197996
2024-03,207,1003,1287,50188,87253,199283
2024-04,333,1350,2024,50521,88603,201307
2024-05,316,923,1567,50837,89526,202874
2024-06,312,743,1247,51149,90269,204121
2024-07,187,761,1312,51336,91030,205433
2024-08,232,724,1195,51568,91754,206628
2024-09,323,865,1425,51891,92619,208053
2024-10,168,481,858,52059,93100,208911
2024-11,404,874,1345,52463,93974,210256
2024-12,145,1045,2502,52608,95019,212758
2025-01,230,1050,3024,52838,96069,215782
2025-02,514,892,2161,53352,96961,217943
2025-03,284,563,952,53636,97524,218895
2025-04,47,640,1094,53683,98164,219989
2025-05,124,804,1402,53807,98968,221391
2025-06,81,581,983,53888,99549,222374
2025-07,84,564,1172,53972,100113,223546
2025-08,67,340,545,54039,100453,224091
2025-09,25,359,542,54064,100812,224633
2025-10,56,338,501,54120,101150,225134
2025-11,183,617,1160,54303,101767,226294
2025-12,190,851,1606,54493,102618,227900
2026-01,105,753,1369,54598,103371,229269
2026-02,89,626,1540,54687,103997,230809
2026-03,192,725,2070,54879,104722,232879
2026-04,1475,97,178,56354,104819,233057
2026-05,17,30,53,56371,104849,233110
2026-06,29,209,446,56400,105058,233556
2026-07,112,254,594,56512,105312,234150
2026-08,128,560,1780,56640,105872,235930
