period,papers,samples,curves,papers_cum,samples_cum,curves_cum
2017,0,1010,2859,0,1010,2859
2018,17460,9125,32447,17460,10135,35306
2019,2076,13797,39622,19536,23932,74928
2020,9605,12932,35201,29141,36864,110129
2021,7622,8518,25858,36763,45382,135987
2022,6008,11105,19340,42771,56487,155327
2023,6526,26265,37929,49297,82752,193256
2024,3311,12267,19502,52608,95019,212758
2025,1885,7599,15142,54493,102618,227900
2026,1981,2642,6129,56474,105260,234029
