project,papers,curves,data_points
ThermoelectricMaterials,30916,156992,2694436
BatteryMaterials,3182,32586,759553
MagneticMaterials,8716,16942,560385
DielectricMaterials,4699,16555,545159
GeneralDB,1812,7529,105537
CondensedMatter,1343,6848,146308
Resistor,1370,4627,85217
LowThermalConductivityMaterials,2827,3553,57744
OrganicThermoelectricMaterials,305,2789,9254
HighThermalConductivityMaterials,422,2638,46702
Hypermaterial,338,2591,76720
SolidStateBatteryMaterials,157,2002,43207
PiezoelectricMaterials,2402,1772,93264
AirBatteryMaterials,55,1176,25280
